"Time","S","R"
9.3863196126802,8808,10
9.38636482683117,8809,10
9.38649632911156,8808,10
9.38650075171192,8809,10
9.38656716239258,8808,10
9.38673576014699,8809,10
9.38674857602133,8810,10
9.3868086139605,8811,10
9.38685876221716,8812,10
9.38687729485055,8811,10
9.38688892508059,8810,10
9.38690318434079,8809,10
9.38691666214423,8808,10
9.38692682882895,8809,10
9.38707860280756,8810,10
9.3870849511486,8809,10
9.38727916888316,8808,10
9.38739938429113,8809,10
9.38749484595359,8810,10
9.3875223823693,8811,10
9.38757368768227,8810,10
9.38762421716142,8811,10
9.38767961487604,8812,10
9.38768652672443,8811,10
9.38773179579404,8812,10
9.38773712211538,8813,10
9.38777264329034,8812,10
9.38792071739951,8811,10
9.38793226967337,8810,10
9.3879477311594,8811,10
9.38800499036155,8810,10
9.38808396478427,8811,10
9.38811682608137,8812,10
9.38819116757308,8811,10
9.38825119869336,8812,10
9.38826877568884,8813,10
9.38831264094327,8812,10
9.38835661588178,8811,10
9.38860530774638,8810,10
9.38860740402727,8811,10
9.3886107216711,8812,10
9.38867394942895,8811,10
9.3886861619204,8812,10
9.38876881419511,8813,10
9.3888062855363,8814,10
9.38889168742499,8813,10
9.38895896288346,8814,10
9.38907553688561,8815,10
9.38913033931316,8814,10
9.38920115371761,8813,10
9.38923710512482,8812,10
9.38924542809736,8811,10
9.38926596889021,8810,10
9.38943353759355,8811,10
9.3894389765712,8810,10
9.38946014027486,8811,10
9.38947715160783,8812,10
9.38952519736227,8811,10
9.38960304047834,8810,10
9.38972571573481,8809,10
9.38983739727515,8810,10
9.38985430969093,8809,10
9.38987612936237,8808,10
9.38990024662479,8807,10
9.38990268231231,8806,10
9.38993285564193,8807,10
9.38998674923144,8808,10
9.39001244871838,8807,10
9.3900468843093,8806,10
9.39007816230067,8805,10
9.39007855142568,8804,10
9.39008806038068,8803,10
9.39017198448043,8802,10
9.39020748568358,8801,10
9.39023709849338,8802,10
9.39024702383387,8803,10
9.39029028852819,8802,10
9.39034421816415,8801,10
9.39037744790597,8800,10
9.39039504693251,8799,10
9.39040042676128,8800,10
9.39044357726796,8799,10
9.39045580679431,8798,10
9.39049318126239,8797,10
9.39050081087361,8798,10
9.39054679072643,8799,10
9.39065508036401,8800,10
9.39069595257624,8801,10
9.39071458637449,8800,10
9.39085639231668,8799,10
9.39089439731714,8798,10
9.39095712398031,8797,10
9.3909749454011,8796,10
9.3910719348618,8795,10
9.39108475611753,8796,10
9.39110699983474,8795,10
9.39111595062346,8796,10
9.39111846499025,8797,10
9.39115633790856,8796,10
9.3912267616461,8797,10
9.39123078870076,8796,10
9.39124699962184,8795,10
9.39125936523833,8796,10
9.39127062759578,8797,10
9.39127347718185,8798,10
9.39131829815658,8799,10
9.39132213840297,8798,10
9.39138610957906,8799,10
9.39140114544508,8800,10
9.39146212406952,8799,10
9.39151198744872,8798,10
9.39155343496163,8799,10
9.3915622468091,8800,10
9.39157185390798,8799,10
9.39163085176073,8800,10
9.39164195378948,8799,10
9.39166253634549,8800,10
9.39171064189992,8799,10
9.39173438974693,8800,10
9.39187157302458,8801,10
9.39192179867757,8800,10
9.39197132421599,8801,10
9.39205002487531,8800,10
9.39206401458565,8799,10
9.39207122932941,8798,10
9.39214137039447,8797,10
9.39214575750406,8796,10
9.39216835029801,8795,10
9.3922903452808,8796,10
9.39236171588806,8795,10
9.39238223720782,8794,10
9.39251240682228,8795,10
9.392556236829,8796,10
9.39261446537854,8797,10
9.39266640531166,8796,10
9.39266695493228,8797,10
9.39266864508577,8798,10
9.39270672609358,8797,10
9.39278777083729,8796,10
9.39289145506989,8797,10
9.39292939548514,8796,10
9.39305274432854,8795,10
9.39311727734334,8796,10
9.39314040906432,8795,10
9.39321445460944,8794,10
9.39327718296237,8793,10
9.39328633681076,8792,10
9.39329150851921,8793,10
9.39331579436969,8794,10
9.39352111894752,8795,10
9.39365149209634,8796,10
9.39382740008071,8795,10
9.39393153041347,8794,10
9.39393454258184,8793,10
9.39409628190738,8794,10
9.39410341829375,8795,10
9.39416985494467,8796,10
9.39420265597011,8797,10
9.39434494893336,8796,10
9.39435470900094,8797,10
9.3943844363869,8796,10
9.39451722002963,8797,10
9.39459376733105,8796,10
9.39468966565449,8797,10
9.39474411316536,8798,10
9.39480101923086,8797,10
9.3948690894019,8796,10
9.39490071379064,8795,10
9.39491326247276,8796,10
9.39492076377617,8795,10
9.39493773684823,8794,10
9.39496227236865,8793,10
9.39496318466235,8792,10
9.3949796072402,8791,10
9.39499729433157,8792,10
9.39514378452733,8793,10
9.39514547178623,8792,10
9.39530078623187,8793,10
9.39532134824732,8792,10
9.39541330454356,8791,10
9.39545900670487,8790,10
9.39558714049147,8791,10
9.39559439463434,8792,10
9.3956243384296,8791,10
9.39564487686256,8792,10
9.3958071844021,8793,10
9.3960234153223,8792,10
9.3961982436911,8793,10
9.39632242074033,8794,10
9.39632667946139,8795,10
9.39640929928025,8796,10
9.39644417845498,8797,10
9.39654834756041,8796,10
9.39655289849093,8797,10
9.3965836337719,8798,10
9.39663539882092,8797,10
9.39668462391077,8796,10
9.39672151139965,8797,10
9.39672628604594,8796,10
9.39675469145998,8795,10
9.3967889989765,8794,10
9.39679846438905,8795,10
9.39682405193172,8796,10
9.39690695954772,8797,10
9.39701359933366,8796,10
9.3970326645795,8795,10
9.39705738490777,8796,10
9.39705981613796,8797,10
9.39710133928562,8798,10
9.39712177522964,8797,10
9.3971234694634,8796,10
9.39717892349424,8797,10
9.3972215841671,8798,10
9.39737813096245,8797,10
9.39745191430865,8796,10
9.39745217108652,8795,10
9.39748426087676,8796,10
9.39748643135028,8797,10
9.39749030331089,8798,10
9.39757757382507,8797,10
9.39760259701531,8798,10
9.39764182789536,8799,10
9.39769754501255,8798,10
9.39778511378819,8797,10
9.39795624649947,8796,10
9.39798182671235,8797,10
9.39799604462336,8796,10
9.39800167402164,8795,10
9.39804948230183,8796,10
9.39811317663103,8795,10
9.39813920615165,8794,10
9.398349099576,8793,10
9.39836365332476,8792,10
9.39838255191306,8791,10
9.39839946708831,8792,10
9.39847611066038,8791,10
9.39873205131719,8792,10
9.3987385943758,8791,10
9.39875038013699,8790,10
9.3987550169117,8789,10
9.39879088299303,8790,10
9.39881696887888,8789,10
9.39883161465741,8788,10
9.39883644067281,8789,10
9.39884566124655,8790,10
9.39890057851265,8789,10
9.39890622492562,8790,10
9.39893730434641,8789,10
9.39904939015425,8790,10
9.3990833355139,8789,10
9.39913733158865,8788,10
9.39920456618305,8789,10
9.3992706144523,8790,10
9.39930655559776,8789,10
9.39937676689483,8790,10
9.39941732105453,8791,10
9.39944640888157,8790,10
9.39952484525777,8789,10
9.39953540077112,8790,10
9.39955014509466,8791,10
9.39958683699484,8790,10
9.39959836838486,8789,10
9.39961091109846,8788,10
9.39962363929168,8789,10
9.39967960885891,8790,10
9.39972832564693,8791,10
9.39978436694216,8792,10
9.3997890731941,8791,10
9.39980012328592,8792,10
9.39992180193807,8791,10
9.4000723928679,8792,10
9.40011025641813,8791,10
9.40026635860285,8792,10
9.40027665072422,8791,10
9.40032795008896,8790,10
9.40035721926848,8789,10
9.40037776837834,8788,10
9.40042565187716,8789,10
9.40043432120039,8790,10
9.40043782008446,8791,10
9.40046742932063,8792,10
9.40046770176771,8791,10
9.40052380440677,8792,10
9.40053763541493,8791,10
9.40061669574854,8792,10
9.40063433556575,8793,10
9.40072450350994,8794,10
9.40101969194816,8795,10
9.40102835899342,8794,10
9.40104055757407,8795,10
9.40116103437276,8796,10
9.40120781376828,8797,10
9.40124516127733,8798,10
9.40124540047907,8799,10
9.40125657142823,8798,10
9.40138778087894,8799,10
9.40143399871982,8798,10
9.40159660685728,8799,10
9.40161956067871,8798,10
9.40176101167121,8799,10
9.40186626711632,8798,10
9.40186931925905,8797,10
9.40199910318512,8796,10
9.40200599648248,8795,10
9.40208713529683,8794,10
9.40224103506019,8793,10
9.40226118198025,8794,10
9.40230590847442,8795,10
9.40230861792629,8796,10
9.40232181687092,8797,10
9.40233564129264,8796,10
9.40234553694448,8797,10
9.40245991650279,8796,10
9.40251808148028,8795,10
9.40256127440104,8794,10
9.40261101790723,8795,10
9.40269221968765,8794,10
9.40272209971288,8793,10
9.4027221542549,8794,10
9.402740965595,8793,10
9.40277234959672,8794,10
9.4028991660515,8795,10
9.40289953091869,8794,10
9.40291782316522,8795,10
9.40293315160511,8796,10
9.40294106630787,8797,10
9.4030312360717,8796,10
9.40305738957214,8795,10
9.4031283155543,8794,10
9.40323507996057,8793,10
9.40326611255506,8792,10
9.40329677425193,8791,10
9.40330088619067,8792,10
9.40332184843905,8791,10
9.40333599625456,8790,10
9.40338952757209,8789,10
9.40346850513189,8788,10
9.40348135986892,8787,10
9.40350999792129,8786,10
9.40364048281113,8787,10
9.4036918103299,8788,10
9.40369695094064,8789,10
9.40372870836807,8790,10
9.40378783794032,8789,10
9.40380021005128,8788,10
9.40394849358615,8789,10
9.40401199767968,8788,10
9.40403015679198,8787,10
9.40403113488174,8786,10
9.40403923885175,8787,10
9.40405228704499,8788,10
9.40406209616027,8789,10
9.40409453450985,8788,10
9.40410955494423,8789,10
9.40436782939838,8788,10
9.40439144999302,8787,10
9.40439658746516,8788,10
9.40456474843441,8787,10
9.40462209902819,8786,10
9.40472335392062,8787,10
9.40478804170984,8788,10
9.40480880462156,8789,10
9.40504649383873,8788,10
9.4050867511649,8789,10
9.40511578395611,8790,10
9.40517553050127,8791,10
9.40519009472805,8792,10
9.40519333169781,8791,10
9.40523100694063,8790,10
9.40532565307565,8791,10
9.40548308550582,8790,10
9.4057329745094,8789,10
9.40575726803639,8788,10
9.40580350154952,8789,10
9.40594690773403,8790,10
9.40604414818297,8789,10
9.40621496379782,8788,10
9.40623981020734,8789,10
9.40628193337228,8790,10
9.40632142957677,8791,10
9.40635009967378,8792,10
9.40635896919385,8791,10
9.40640015925302,8790,10
9.4064798430019,8789,10
9.40648768500488,8788,10
9.40650487016264,8787,10
9.40663215515895,8786,10
9.40666297328345,8785,10
9.40668174638781,8784,10
9.40687316198423,8785,10
9.40692733274855,8784,10
9.40701478047635,8783,10
9.40703642330454,8782,10
9.40710443699923,8783,10
9.40718169219273,8782,10
9.4072215605335,8783,10
9.4072226839808,8782,10
9.40734744619197,8781,10
9.40735176979071,8782,10
9.40742054929018,8783,10
9.40742955105276,8784,10
9.4075133529043,8785,10
9.40758372330146,8786,10
9.4076014892352,8787,10
9.40770214946438,8786,10
9.4077535625647,8785,10
9.40779091056755,8784,10
9.40782342334824,8785,10
9.40795315447207,8784,10
9.40800163769339,8783,10
9.40801388219654,8784,10
9.40810383225641,8785,10
9.40814607902027,8784,10
9.40822024208539,8783,10
9.40823091965603,8782,10
9.40837369893631,8783,10
9.40837675757995,8784,10
9.40841834897163,8783,10
9.40844774498397,8784,10
9.40847548597406,8783,10
9.40857256701093,8782,10
9.4085773490035,8781,10
9.40858154953151,8782,10
9.40876116897691,8783,10
9.40881728332595,8782,10
9.4088393620429,8781,10
9.408845491923,8782,10
9.40890425473873,8781,10
9.40903915916751,8782,10
9.4090554333364,8781,10
9.40925440822903,8782,10
9.40930352580569,8781,10
9.4093382841333,8782,10
9.40944734256179,8781,10
9.40968263368866,8780,10
9.40968762805216,8781,10
9.40972882917708,8782,10
9.40973030234859,8783,10
9.40973436133312,8784,10
9.4098196755604,8783,10
9.40982665528741,8784,10
9.40984463522835,8783,10
9.40988396337175,8784,10
9.40995194304116,8783,10
9.40995897193038,8784,10
9.40999965619994,8783,10
9.41007149966165,8782,10
9.41009199678379,8781,10
9.41015915405668,8782,10
9.41022459098366,8781,10
9.41027308597796,8780,10
9.41053207484922,8779,10
9.41064899585421,8778,10
9.41076716920937,8777,10
9.41077633681537,8778,10
9.41079831082911,8777,10
9.41083140865794,8778,10
9.41084704405024,8779,10
9.4108675969752,8780,10
9.41088129170692,8779,10
9.41089463227426,8778,10
9.41090365860501,8779,10
9.41091198133327,8780,10
9.41092229980926,8779,10
9.41097129280899,8780,10
9.41105609271835,8781,10
9.41107132529221,8780,10
9.41118232330265,8781,10
9.41122989147587,8780,10
9.41124320176886,8781,10
9.41124904642865,8780,10
9.41125978179381,8781,10
9.41129252157516,8780,10
9.41135645342712,8781,10
9.41138829985891,8780,10
9.41141083512564,8781,10
9.41141186062208,8782,10
9.41142314898623,8781,10
9.41152201760885,8780,10
9.41154776740966,8781,10
9.4116955078535,8780,10
9.41175951367837,8779,10
9.41176886015618,8778,10
9.41177440059444,8777,10
9.41193447882815,8776,10
9.41193640605389,8777,10
9.41201502911827,8776,10
9.41212156141876,8777,10
9.41215047220769,8778,10
9.41216810200508,8779,10
9.41220908096253,8778,10
9.41221386454454,8777,10
