"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1050,0,0,0
0.2,1129,0,0,0
0.3,1179,0,0,0
0.4,1270,0,0,0
0.5,1367,0,0,0
0.6,1468,0,0,0
0.7,1576,0,0,0
0.8,1638,0,0,0
0.9,1750,0,0,0
1,1924,0,0,0
1.1,2084,0,0,0
1.2,2235,0,0,0
1.3,2418,0,0,0
1.4,2629,0,0,0
1.5,2841,0,0,0
1.6,3038,0,0,0
1.7,3291,0,0,0
1.8,3541,0,0,0
1.9,3792,0,0,0
2,4100,0,0,0
2.1,4454,0,0,0
2.2,4785,0,0,0
2.3,5155,0,0,0
2.4,5535,0,0,0
2.5,5934,0,0,0
2.6,6376,0,0,0
2.7,6790,0,0,0
2.8,7267,0,0,0
2.9,7798,0,0,0
3,8350,0,1,0
3.1,9036,0,1,0
3.2,9697,0,1,0
3.3,10332,0,2,0
3.4,11097,0,2,0
3.5,11824,0,0,0
3.6,12655,0,0,0
3.7,13628,0,0,0
3.8,14494,0,0,0
3.9,15470,0,0,0
4,16591,0,0,0
4.1,17822,0,0,0
4.2,19103,0,0,0
4.3,20463,0,0,0
4.4,21936,0,0,0
4.5,23558,0,0,0
4.6,25329,0,0,0
4.7,26956,0,0,0
4.8,28960,0,0,0
4.9,30942,0,0,0
5,33135,0,0,0
5.1,35570,0,0,0
5.2,38078,0,0,0
5.3,40839,0,1,0
5.4,43718,1,1,0
5.5,46768,3,1,0
5.6,50367,2,1,0
5.7,53938,3,1,0
5.8,57712,4,3,0
5.9,61691,6,2,0
6,65977,6,2,0
6.09999999999999,70546,6,2,0
6.19999999999999,75583,5,2,0
6.29999999999999,80784,5,4,0
6.39999999999999,86782,5,4,0
6.49999999999999,92937,5,4,0
6.59999999999999,99590,7,5,0
6.69999999999999,106588,6,6,0
6.79999999999999,113951,7,7,0
6.89999999999999,122020,9,6,0
6.99999999999999,130868,12,6,0
7.09999999999999,140020,12,4,0
7.19999999999999,150240,10,7,0
7.29999999999999,160685,8,6,0
7.39999999999999,171909,6,5,0
7.49999999999999,184047,7,7,0
7.59999999999999,197290,9,8,0
7.69999999999999,211584,9,10,0
7.79999999999999,226147,11,10,0
7.89999999999999,242321,10,12,0
7.99999999999999,259016,13,12,0
8.09999999999999,276702,16,17,0
8.19999999999999,296114,18,14,0
8.29999999999999,317392,18,12,0
8.39999999999999,339743,19,12,0
8.49999999999999,363074,20,15,0
8.59999999999999,388753,20,18,0
8.69999999999999,416419,21,26,0
8.79999999999998,445882,21,32,0
8.89999999999998,477824,25,35,0
8.99999999999998,511938,26,38,0
9.09999999999998,548734,32,48,0
9.19999999999998,588070,35,52,0
9.29999999999998,629804,35,58,0
9.39999999999998,674710,39,58,0
9.49999999999998,722864,44,61,0
9.59999999999998,774107,50,69,0
9.69999999999998,828737,55,74,0
9.79999999999998,887708,61,80,0
9.89999999999998,950909,68,81,0
9.99999999999998,1018178,74,91,0
10.1,1090251,79,107,0
10.2,1167908,77,106,0
10.3,1251279,86,106,0
10.4,1339890,93,111,0
10.5,1434434,103,131,0
10.6,1534760,110,139,0
10.7,1643784,125,139,0
10.8,1759700,144,162,0
10.9,1884725,145,188,0
11,2019020,160,208,0
11.1,2163064,181,238,0
11.2,2316260,201,258,0
11.3,2480207,227,277,0
11.4,2656850,265,304,0
11.5,2845132,304,332,0
11.6,3046610,330,375,0
11.7,3262034,370,413,0
11.8,3494333,405,464,0
11.9,3741742,432,509,0
12,4008498,464,569,0
12.1,4293691,514,627,0
12.2,4597902,562,692,0
12.3,4923980,614,747,0
12.4,5273155,659,802,0
12.5,5648110,715,895,0
12.6,6048441,774,987,0
12.7,6478996,850,1098,0
12.8,6940142,946,1184,0
12.9,7433839,1020,1287,0
13,7964424,1147,1419,0
13.1,8531599,1257,1550,0
13.2,9135199,1381,1700,0
13.3,9784029,1517,1810,0
13.4,10478877,1644,1939,0
13.5,11225537,1800,2121,0
13.6,12023096,1988,2316,0
13.7,12877792,2148,2469,0
13.8,13792197,2333,2731,0
13.9,14772256,2545,2934,0
14,15818739,2697,3168,0
14.1,16941853,2893,3405,0
14.2,18144756,3148,3679,0
14.3,19429155,3401,3986,0
14.4,20806406,3686,4325,0
14.5,22282179,4038,4697,0
14.6,23858652,4386,5064,0
14.7,25554038,4746,5510,0
14.8,27373846,5152,5957,0
14.9,29318753,5599,6478,0
15,31406560,6094,6966,0
15.1,33636381,6620,7525,0
15.2,36025208,7182,8089,0
15.3,38587818,7873,8846,0
15.4,41319008,8528,9551,0
15.5,44250569,9295,10332,0
15.6,47390901,10069,11199,0
15.7,50762661,10965,12147,0
15.8,54371485,11907,13106,0
15.9,58231538,12911,14215,0
16,62368098,13985,15462,0
16.1,66793744,15220,16842,0
16.2,71533285,16471,18261,0
16.3,76614048,17910,19723,0
16.4,82048067,19382,21416,0
16.5,87867158,20978,23282,0
16.6,94102891,22704,25168,0
16.7,100786435,24628,27284,0
16.8,107950245,26702,29465,0
16.9,115614799,28884,31791,1
