Time S R 
1.335773 183 0 
1.342883 184 0 
1.347601 185 0 
1.351861 186 0 
1.359392 187 0 
1.360727 188 0 
1.369774 187 0 
1.371481 188 0 
1.372234 187 0 
1.373749 186 0 
1.37688 187 0 
1.398593 188 0 
1.412676 189 0 
1.415272 190 0 
1.416158 189 0 
1.420483 188 0 
1.42068 187 0 
1.421004 188 0 
1.426352 189 0 
1.426633 190 0 
1.43402 189 0 
1.434498 190 0 
1.438794 191 0 
1.445244 192 0 
1.447479 193 0 
1.449636 194 0 
1.460226 195 0 
1.461231 196 0 
1.463861 197 0 
1.469777 196 0 
1.47429 197 0 
1.488431 198 0 
1.488718 197 0 
1.491649 198 0 
1.495797 199 0 
1.499055 200 0 
1.499545 201 0 
1.502677 202 0 
1.504268 203 0 
1.513507 204 0 
1.514114 205 0 
1.514789 206 0 
1.516197 207 0 
1.522609 208 0 
1.523248 209 0 
1.523831 208 0 
1.523937 207 0 
1.531604 208 0 
1.534072 209 0 
1.537764 210 0 
1.53812 211 0 
1.540151 210 0 
1.544151 209 0 
1.547643 210 0 
1.549978 211 0 
1.550833 212 0 
1.551339 213 0 
1.553147 214 0 
1.555747 215 0 
1.557639 216 0 
1.558015 217 0 
1.566868 218 0 
1.57128 219 0 
1.571734 218 0 
1.572149 219 0 
1.574247 220 0 
1.575935 221 0 
1.577902 220 0 
1.580275 219 0 
1.582623 220 0 
1.584994 221 0 
1.585117 220 0 
1.586127 221 0 
1.591438 222 0 
1.598192 221 0 
1.603056 222 0 
1.604006 221 0 
1.605204 220 0 
1.61158 221 0 
1.612793 222 0 
1.616887 221 0 
1.619476 222 0 
1.624722 223 0 
1.634684 222 0 
1.637014 221 0 
1.641254 222 0 
1.645603 223 0 
1.646235 224 0 
1.649635 225 0 
1.651984 224 0 
1.657843 225 0 
1.659508 224 0 
1.67037 225 0 
1.674996 224 0 
1.681023 223 0 
1.682244 222 0 
1.687104 223 0 
1.689155 224 0 
1.691105 225 0 
1.691798 224 0 
1.692484 225 0 
1.693098 226 0 
1.693818 227 0 
1.698106 226 0 
1.699184 225 0 
1.700077 224 0 
1.701045 225 0 
1.703489 224 0 
1.710936 225 0 
1.713743 226 0 
1.715256 227 0 
1.717717 226 0 
1.717987 227 0 
1.718602 228 0 
1.721965 229 0 
1.724891 230 0 
1.731146 231 0 
1.732742 230 0 
1.737584 229 0 
1.738717 228 0 
1.738933 227 0 
1.738955 228 0 
1.740807 227 0 
1.741664 228 0 
1.74505 229 0 
1.750618 230 0 
1.75749 229 0 
1.760927 230 0 
1.766191 229 0 
1.767581 228 0 
1.769602 229 0 
1.781472 230 0 
1.786139 231 0 
1.793263 232 0 
1.793279 231 0 
1.793641 232 0 
1.796725 231 0 
1.800949 232 0 
1.804927 231 0 
1.809165 232 0 
1.812734 233 0 
1.820967 234 0 
1.821483 235 0 
1.826809 234 0 
1.829097 233 0 
1.842955 232 0 
1.850871 231 0 
1.855994 230 0 
1.858133 231 0 
1.864573 230 0 
1.865142 231 0 
1.866603 232 0 
1.867195 233 0 
1.872646 234 0 
1.87353 235 0 
1.880508 236 0 
1.88767 237 0 
1.89126 236 0 
1.895114 237 0 
1.895242 236 0 
1.895381 237 0 
1.897771 238 0 
1.898147 239 0 
1.903984 240 0 
1.904684 241 0 
1.904987 240 0 
1.906119 241 0 
1.908745 240 0 
1.915261 241 0 
1.916176 242 0 
1.921401 243 0 
1.922279 244 0 
1.924296 243 0 
1.927938 244 0 
1.930437 245 0 
1.935997 244 0 
1.937619 245 0 
1.938635 246 0 
1.942571 247 0 
1.943735 248 0 
1.94425 249 0 
1.945126 248 0 
1.945538 249 0 
1.947477 250 0 
1.949087 249 0 
1.949721 250 0 
1.950118 249 0 
1.951818 248 0 
1.956543 249 0 
1.956717 250 0 
1.957328 251 0 
1.962505 252 0 
1.963891 251 0 
1.964635 250 0 
1.966584 251 0 
1.966663 252 0 
1.968314 253 0 
1.971352 254 0 
1.971373 253 0 
1.973025 254 0 
1.973213 255 0 
1.97324 254 0 
1.975902 253 0 
1.977876 252 0 
1.983573 251 0 
1.984741 252 0 
1.985375 253 0 
1.987304 254 0 
1.996028 255 0 
1.999898 256 0 
2.007339 257 0 
2.007524 256 0 
2.008701 257 0 
2.008909 258 0 
2.011541 259 0 
2.012304 260 0 
2.015254 261 0 
2.021791 262 0 
2.023149 261 0 
2.032892 262 0 
2.033675 261 0 
2.04081 262 0 
2.043182 261 0 
2.04597 262 0 
2.046323 261 0 
2.046472 262 0 
