Time S R 
11.32171 1858 1 
11.32173 1857 1 
11.32188 1856 1 
11.32204 1855 1 
11.32212 1856 1 
11.32218 1857 1 
11.32221 1858 1 
11.3227 1859 1 
11.32303 1858 1 
11.32312 1857 1 
11.32443 1856 1 
11.32485 1857 1 
11.32538 1856 1 
11.32541 1855 1 
11.32548 1854 1 
11.32567 1855 1 
11.32636 1854 1 
11.32661 1853 1 
11.32689 1852 1 
11.32697 1853 1 
11.32706 1854 1 
11.32732 1853 1 
11.32748 1852 1 
11.32759 1851 1 
11.32768 1852 1 
11.32888 1853 1 
11.32896 1854 1 
11.3291 1855 1 
11.32918 1854 1 
11.32977 1853 1 
11.32985 1852 1 
11.33008 1851 1 
11.33015 1852 1 
11.33025 1851 1 
11.33036 1850 1 
11.33057 1849 1 
11.33071 1850 1 
11.33105 1849 1 
11.33141 1850 1 
11.33142 1849 1 
11.33146 1850 1 
11.33185 1851 1 
11.33197 1850 1 
11.33213 1849 1 
11.33218 1850 1 
11.33234 1851 1 
11.33235 1852 1 
11.33239 1851 1 
11.33257 1850 1 
11.33264 1851 1 
11.33265 1852 1 
11.33318 1853 1 
11.33341 1854 1 
11.33349 1853 1 
11.33364 1852 1 
11.33368 1853 1 
11.3337 1852 1 
11.33384 1853 1 
11.33388 1854 1 
11.334 1855 1 
11.33421 1854 1 
11.33484 1853 1 
11.3351 1852 1 
11.33522 1853 1 
11.33555 1852 1 
11.33573 1851 1 
11.33604 1850 1 
11.33617 1849 1 
11.33621 1848 1 
11.33623 1847 1 
11.33668 1848 1 
11.33673 1847 1 
11.33673 1846 1 
11.33702 1845 1 
11.33724 1844 1 
11.33738 1845 1 
11.338 1844 1 
11.33851 1845 1 
11.3387 1844 1 
11.33884 1843 1 
11.33901 1842 1 
11.33904 1841 1 
11.33994 1840 1 
11.34036 1839 1 
11.34051 1838 1 
11.34065 1837 1 
11.34075 1836 1 
11.34078 1835 1 
11.34163 1834 1 
11.34169 1835 1 
11.3417 1836 1 
11.34188 1837 1 
11.34234 1836 1 
11.3428 1837 1 
11.34289 1836 1 
11.34291 1837 1 
11.34297 1838 1 
11.34311 1839 1 
11.34486 1838 1 
11.34502 1837 1 
11.34513 1836 1 
11.34514 1835 1 
11.3452 1836 1 
11.34536 1835 1 
11.3458 1836 1 
11.34592 1835 1 
11.34627 1834 1 
11.34704 1835 1 
11.34758 1834 1 
11.34775 1835 1 
11.34779 1836 1 
11.34783 1835 1 
11.34802 1836 1 
11.34834 1835 1 
11.34838 1836 1 
11.34839 1837 1 
11.34874 1836 1 
11.34879 1835 1 
11.34891 1834 1 
11.34912 1835 1 
11.34951 1836 1 
11.34999 1837 1 
11.3502 1838 1 
11.35102 1839 1 
11.35106 1838 1 
11.35106 1837 1 
11.35129 1836 1 
11.35135 1837 1 
11.35153 1836 1 
11.35182 1835 1 
11.35182 1836 1 
11.35245 1837 1 
11.35306 1838 1 
11.35328 1839 1 
11.3533 1838 1 
11.35382 1837 1 
11.35391 1838 1 
11.35403 1839 1 
11.35446 1840 1 
11.35458 1839 1 
11.3546 1840 1 
11.35535 1839 1 
11.35543 1838 1 
11.35558 1837 1 
11.3559 1836 1 
11.35595 1835 1 
11.35655 1834 1 
11.35683 1833 1 
11.35685 1832 1 
11.35691 1831 1 
11.35699 1830 1 
11.35791 1829 1 
11.35797 1830 1 
11.35817 1831 1 
11.35872 1830 1 
11.35873 1829 1 
11.35881 1830 1 
11.35929 1829 1 
11.35961 1828 1 
11.35977 1827 1 
11.36004 1826 1 
11.36018 1825 1 
11.36036 1826 1 
11.36043 1827 1 
11.36055 1828 1 
11.3608 1827 1 
11.36088 1828 1 
11.36092 1827 1 
11.36101 1826 1 
11.36101 1827 1 
11.36212 1826 1 
11.36238 1827 1 
11.36244 1828 1 
11.36336 1829 1 
11.36378 1828 1 
11.36394 1827 1 
11.36402 1826 1 
11.36467 1825 1 
11.36477 1824 1 
11.36481 1825 1 
11.36501 1826 1 
11.36506 1827 1 
11.36512 1826 1 
11.36514 1827 1 
11.36662 1828 1 
11.36689 1827 1 
11.36773 1826 1 
11.36788 1825 1 
11.36814 1824 1 
11.36816 1823 1 
11.3682 1824 1 
11.3684 1825 1 
11.36913 1826 1 
11.37003 1825 1 
11.37093 1824 1 
11.37101 1825 1 
11.37133 1824 1 
11.37159 1825 1 
11.37217 1826 1 
11.37224 1827 1 
11.37232 1828 1 
11.37286 1827 1 
11.37302 1826 1 
11.37316 1827 1 
11.37354 1828 1 
11.37355 1827 1 
11.37374 1826 1 
11.37429 1825 1 
11.37473 1824 1 
11.37514 1825 1 
11.37525 1826 1 
11.37533 1827 1 
11.37624 1828 1 
11.37638 1829 1 
11.37683 1828 1 
11.37699 1829 1 
11.37788 1828 1 
11.37796 1829 1 
11.37822 1830 1 
11.37828 1831 1 
11.37882 1832 1 
11.37892 1831 1 
11.37897 1830 1 
11.37994 1829 1 
11.38028 1828 1 
11.3804 1829 1 
11.38052 1830 1 
11.38076 1829 1 
11.38123 1828 1 
11.38175 1827 1 
11.3822 1828 1 
11.38254 1827 1 
11.38295 1826 1 
11.38319 1827 1 
11.38331 1828 1 
11.38394 1829 1 
11.38459 1830 1 
11.38465 1829 1 
11.38513 1830 1 
11.38528 1829 1 
11.38546 1828 1 
11.38603 1829 1 
11.38652 1830 1 
11.38681 1831 1 
11.38701 1830 1 
11.38704 1831 1 
11.38719 1830 1 
11.38747 1829 1 
11.38865 1830 1 
11.38906 1829 1 
11.38912 1830 1 
